QID8,QID9,QID10,QID11,QID12,QID13,QID14,QID15,QID16,QID17,QID18,Q312,QID19,QID20,QID21,QID22,QID23,QID24,QID25,QID26,QID27,QID28,QID29,QID30,QID31,QID32,QID33,QID34,QID35,QID36,QID37,QID38,QID39,QID40,QID41,QID42,QID43,QID44,QID45,QID46,QID47,QID48,QID49,QID50,QID51,QID52,QID53,QID54,QID55,QID56,QID57,QID58,QID59,QID60,QID61,QID62,QID63,QID64,QID65,QID66,QID67,QID68,QID69,QID70,QID71,QID72,QID73,QID74,QID75,QID76,QID77,QID78,QID79,QID80,QID81,QID82,QID83,QID84,Q313,QID85,QID86,QID87,QID88,QID89,QID90,QID91,QID92,QID93,QID94,QID95,QID96,QID97,QID98,QID99,QID101,QID101_9_TEXT,QID102,QID102_9_TEXT,QID103,QID103_9_TEXT,QID104,QID104_9_TEXT,QID105,QID105_9_TEXT,QID106,QID106_9_TEXT,QID107,QID107_9_TEXT,QID108,QID108_9_TEXT,QID109,QID109_9_TEXT,QID110,QID110_9_TEXT,QID111,QID111_9_TEXT,QID112,QID112_9_TEXT,QID113,QID113_9_TEXT,QID114,QID114_9_TEXT,QID115,QID115_9_TEXT,QID116,QID116_9_TEXT,QID117,QID117_9_TEXT,QID118,QID118_9_TEXT,QID119,QID119_9_TEXT,Q314,QID120,QID120_9_TEXT,QID121,QID121_9_TEXT,QID122,QID122_9_TEXT,QID123,QID123_9_TEXT,QID124,QID124_9_TEXT,QID125,QID125_9_TEXT,QID126,QID126_9_TEXT,QID127,QID127_9_TEXT,QID128,QID128_9_TEXT,QID129,QID129_9_TEXT,QID130,QID130_9_TEXT,QID131,QID131_9_TEXT,QID132,QID132_9_TEXT,QID133,QID133_9_TEXT,QID134,QID134_9_TEXT,QID135,QID135_9_TEXT,QID136,QID136_9_TEXT,QID137,QID137_9_TEXT,QID138,QID138_9_TEXT,QID139,QID139_9_TEXT,QID140,QID140_9_TEXT,QID141,QID141_9_TEXT,QID142,QID142_9_TEXT,QID143,QID143_9_TEXT,QID144,QID144_9_TEXT,QID145,QID145_9_TEXT,QID146,QID146_9_TEXT,QID147,QID147_9_TEXT,QID148,QID148_9_TEXT,QID149,QID149_9_TEXT,QID150,QID150_9_TEXT,QID151,QID151_9_TEXT,QID152,QID152_9_TEXT,QID153,QID153_9_TEXT,QID154,QID154_9_TEXT,QID155,QID155_9_TEXT,QID156,QID156_9_TEXT,QID157,QID157_9_TEXT,QID158,QID158_9_TEXT,QID159,QID159_9_TEXT,QID160,QID160_9_TEXT,QID161,QID161_9_TEXT,Q315,QID162,QID162_9_TEXT,QID163,QID163_9_TEXT,QID164,QID164_9_TEXT,QID165,QID165_9_TEXT,QID166,QID166_9_TEXT,QID167,QID167_9_TEXT,QID168,QID168_9_TEXT,QID169,QID169_9_TEXT,QID170,QID170_9_TEXT,QID171,QID171_9_TEXT,QID172,QID172_9_TEXT,QID173,QID173_9_TEXT,QID174,QID174_9_TEXT,QID175,QID175_9_TEXT,QID176,QID176_9_TEXT,QID177,QID177_9_TEXT,QID178,QID178_9_TEXT,QID179,QID179_9_TEXT,QID180,QID180_9_TEXT,QID181,QID181_9_TEXT,QID182,QID182_9_TEXT,QID183,QID183_9_TEXT,QID184,QID184_9_TEXT,QID185,QID185_9_TEXT,QID186,QID186_9_TEXT,QID187,QID187_9_TEXT,QID188,QID188_9_TEXT,QID189,QID189_9_TEXT,QID190,QID190_9_TEXT,QID191,QID191_9_TEXT,QID192,QID192_9_TEXT,QID193,QID193_9_TEXT,QID194,QID194_9_TEXT,QID195,QID195_9_TEXT,QID196,QID196_9_TEXT,QID197,QID197_9_TEXT,QID198,QID198_9_TEXT,QID199,QID199_9_TEXT,QID200,QID200_9_TEXT,QID201,QID201_9_TEXT,QID202,QID202_9_TEXT,QID203,QID203_9_TEXT,QID204,QID204_9_TEXT,QID205,QID205_9_TEXT,QID206,QID206_9_TEXT,QID207,QID207_9_TEXT,QID208,QID208_9_TEXT,QID209,QID209_9_TEXT,QID210,QID210_9_TEXT,QID211,QID211_9_TEXT,QID212,QID212_9_TEXT,QID213,QID213_9_TEXT,QID214,QID214_9_TEXT,QID215,QID215_9_TEXT,QID216,QID216_9_TEXT,QID217,QID217_9_TEXT,QID218,QID218_9_TEXT,QID219,QID219_9_TEXT,QID220,QID220_9_TEXT,QID221,QID221_9_TEXT,QID222,QID222_9_TEXT,QID223,QID223_9_TEXT,QID224,QID224_9_TEXT,QID225,QID225_9_TEXT,QID226,QID226_9_TEXT,QID227,QID227_9_TEXT,QID228,QID228_9_TEXT,QID229,QID229_9_TEXT,QID230,QID230_9_TEXT,QID231,QID231_9_TEXT,QID232,QID232_9_TEXT,QID233,QID233_9_TEXT,QID234,QID234_9_TEXT,QID235,QID235_9_TEXT,QID236,QID236_9_TEXT,QID237,QID237_9_TEXT,QID238,QID238_9_TEXT,QID239,QID239_9_TEXT,QID240,QID240_9_TEXT,QID241,QID241_9_TEXT,QID242,QID242_9_TEXT,QID243,QID243_9_TEXT,QID244,QID244_9_TEXT,QID245,QID245_9_TEXT,QID246,QID246_9_TEXT,QID247,QID247_9_TEXT,QID248,QID248_9_TEXT,QID249,QID249_9_TEXT,QID250,QID250_9_TEXT,QID251,QID251_9_TEXT,QID252,QID252_9_TEXT,QID253,QID253_9_TEXT,QID254,QID254_9_TEXT,QID255,QID255_9_TEXT,QID256,QID256_9_TEXT,QID257,QID257_9_TEXT,QID258,QID258_9_TEXT,QID259,QID259_9_TEXT,QID260,QID260_9_TEXT,QID261,QID261_9_TEXT,QID262,QID262_9_TEXT,QID263,QID263_9_TEXT,QID264,QID264_9_TEXT,QID265,QID265_9_TEXT,QID266,QID266_9_TEXT,QID267,QID267_9_TEXT,QID268,QID268_9_TEXT,QID269,QID269_9_TEXT,QID270,QID270_9_TEXT,QID271,QID271_9_TEXT,QID272,QID272_9_TEXT,QID273,QID273_9_TEXT,QID274,QID274_9_TEXT,QID275,QID275_9_TEXT,QID276,QID276_9_TEXT,QID277,QID277_9_TEXT,QID278,QID278_9_TEXT,QID279,QID279_9_TEXT,QID280,QID280_9_TEXT,QID281,QID281_9_TEXT,QID282,QID282_9_TEXT,QID283,QID283_9_TEXT,QID284,QID284_9_TEXT,QID285,QID285_9_TEXT,QID286,QID286_9_TEXT,QID287,QID287_9_TEXT,QID288,QID288_9_TEXT,QID289,QID289_9_TEXT,QID290,QID290_9_TEXT,QID291,QID291_9_TEXT,QID292,QID292_9_TEXT,QID293,QID293_9_TEXT,QID294,QID294_9_TEXT,QID295,QID295_9_TEXT,QID296,QID296_9_TEXT,QID297,QID297_9_TEXT,QID298,QID298_9_TEXT,QID299,QID299_9_TEXT,QID300,QID300_9_TEXT,QID301,QID301_9_TEXT,QID302,QID302_9_TEXT,QID303,QID303_9_TEXT,QID304,QID304_9_TEXT,QID305,QID305_9_TEXT,QID306,QID306_9_TEXT,QID307,QID307_9_TEXT,QID308,QID308_9_TEXT,QID309,QID309_9_TEXT,QID310,QID310_9_TEXT,QID311,QID311_9_TEXT
,,,,,,,,,,1,He is probably following the second homeless guy in order to help him.,,1,,,,3,,1,,,,,,,,,,,,,,2,,,,,,,,,3,,,3,,,2,,,2,,,,,,,,,,,,,,,,3,,,3,,,,,,,3,"She shot someone in the head, so I think she is pretty evil.",,,3,,3,,,,,,,,,,,8,,,,9,Work,9,Relationships,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,8,,It is pretty horrific that the brother died after drinking an energy drink.,,,,,,,,,,,,,,,,,9,Disjointed,,,,,,,8,,,,,,,,,,,,,,,,8,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,Guitar is related to music.,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,,9,Sports,3,,,,,,4,,,,,,,,,,,,4,,,,,,,,9,Disjointed,,,9,Food,,,2,,,,,,,,9,Abuse,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,9,Emotions,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,,9,Disjointed,,,,,,,,,,,5,
,1,,,,1,,,,,1,he made good deeds such as helping the homeless,1,,2,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,3,,,,,,2,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,3,she was a criminal for things such as robbery and murder,,,,,,,,,,,,2,3,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,8,,,,8,,,,1,,mentions a brother,,,,,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,it mentions a grandfather,,,,,,,,,4,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,8,,,,,,,,,,,,6,,,,3,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,4,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,7,,5,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
,,,,,,2,,,,1,he wanted to help,1,,2,,,,,,,2,,,,2,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,1,3,,,2,3,she was a bad person,,,,,,,,,,,,,,,,8,,,,9,work,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,they are family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,2,,,,,,,,,,2,,it was music story,2,,,,,,3,,,,,,,,7,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,6,,6,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,6,,6,,7,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,6,,,,,,5,,,,7,,,,,,,,,,,,9,police,,
,,,,,,3,,,,1,The character of this story did good things to help the homeless people,,,,3,,,,,,,,,,,,,,1,,,,3,,,,,,,,,2,,,,,2,,2,,,2,,,,3,,,,,,,,,,,,1,,,,,,,,,3,"Eventhough she attacked a man that did horrible things, she wasn't better than him.",,,,,,,,,,,,2,,3,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,I consider the death of the brother as an accident,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,7,,,,,,,,,,2,,Because the story is talking about music plays,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,9,Good actions,,,,,,,,,,,,,,,5,,,,5,,,,5,,3,,,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,5,,2,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,4,,5,,,,,,3,,,,,,8,,7,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,8,,6,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,
,,,,1,,,,,,1,He helped the homeless man,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,2,,,,,,2,,,2,,,,,,,,,2,,,,3,,,3,She tried to kill him,,,2,,,,,,,3,,,,,,8,,7,,,,,,7,,,,,,,,,,,,,,,,,,5,,,,,,,,,,8,,His brother died ,,,,,,,,,,,,,1,,,,,,7,,9,Sports,5,,,,,,,,,,,,,,,,,,,,,,1,,,,9,Friends,,,,,,,,,,,6,,,,,,,,,,2,,2,,,,,,,,,,2,,It talks about playing his grandpa's guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,4,,,,4,,,,,,6,,,,,,8,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,4,,,,,,,,,,9,War,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,5,,,
,,,3,,,,2,,,1,The person giving him money was a good decision,,,,,,,,,,,,,,,,,2,,2,,,,,1,2,2,,,,,,,,,,,,,,,2,,2,,,,2,2,,,,,,1,,,,,,,,,,,,3,Because she had the intention to kill someone,,,,,,,,,,,,,,,,8,,,,,,,,7,,2,,,,,,,,,,,,,,,,,,8,,,,,,,,7,,The dead brother is terrifying,,,,,,,,,7,,,,1,,,,,,,,,,,,8,,3,,,,,,,,,,,,,,8,,,,1,,,,,,,,,,7,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,The guitar and musician are musical,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,7,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,6,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,5,,,,3,,1,,,,,,8,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,9,Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,"giving money to a homeless man is an act of kindness, and thus good",,1,,,,,1,,2,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,3,,,3,"a lady shoots someone  with a gun, grim and horrible thus evil",,,3,,3,,,2,3,,,,,,,8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,,8,,the brother dies ,,,,,,,9,random,,,,,,,,,,,,,9,sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,2,,the olay has a solo and the grandfather is a musician,2,,,,,,,,8,,3,,,,,,,,3,,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,5,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,8,,,,,,,,,,,,,,8,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,8,
,,1,,,,3,,,,1,He helped a homeless man so i find it a morally good story,,,,,,,,,2,,1,,,,,,,,,,2,,,2,,,,,,1,,,,,,,,,,2,,,,,,,,,2,,,,1,,,,,,,,,,,,,3,She shot a man in the head. I consider the story evil,3,3,,,,,,,,,,,,,,8,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,He imagined that there was a spider in the bathroom. ,3,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,2,,,,2,,,,,,2,,I was between family and music but i prefer music because of the solo by a musician and the guitar he was holding,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,4,,,,,,,,,,1,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,2,,,,,,3,,9,Guidance,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9,Having fun,5,,,,,,3,,,,,,,,,,8,,,
1,,,,,,,2,,,1,he helped a homeless man and I dont know yet what he did to the other one but nothing was implied,,,,,,,1,,,,,,1,,,,,,,,,3,,1,,,,,,,,,,3,,1,,,,1,,,,2,,,,,,,,2,,,,,,,,,,,,2,,3,she shot a person and robbed a person,,,,,,,,,,,,,,,,8,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,8,,,,8,,he drank a drink and died thats pretty horrifying to me,,,,,,,,,7,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,2,,the whole phrase is about music from a solo to a guitar to playing it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,9,humor,,,7,,,,1,,,,2,,,,,,,,3,,,,,,,,,,3,,,,5,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,6,,,,,,,,,,,,,,,,,,2,,,,8,,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
,2,,,,2,,,,,1,The moral alignment is good since they helped a homeless man without wanting anything back,1,2,,,,3,,,,,,,,,2,,,2,2,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,2,3,Evil because gun violence,,,,,,,,,,,,,,,,8,,,,9,Work,,,7,,,,,,,,7,,,,,,,,,,,,,,8,,,,,,8,,"At first glance I would say Family but Horror fits better because it could be related to assassination, maybe even some monster that can shapeshift since they thought it was a spider at first",,,,,,,3,,,,,,,,7,,,,,,,,,,,,,,,,5,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,I chose music because the main point was about someone wanting to play the guitar,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,5,,9,Fantasy,,,,,5,,,,,,,,,,,,,,,,,,9,Bullying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,9,Bullying,5,,,,9,Theatre,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,9,Sports,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,,,1,,5,,,,3,,,,3,,,,8,,,,,,,,8,
